Time;Voltage;error;
8.4e-09;0.03626666666666667;0.001986621923433512;
8.8e-09;0.036533333333333334;0.002018580359229392;
9.2e-09;0.0366;0.0020513410247932928;
9.6e-09;0.036800000000000006;0.001975854245636555;
1e-08;0.0368;0.0018242806801586217;
1.04e-08;0.0368;0.0019431932482385805;
1.08e-08;0.0368;0.0019431932482385805;
1.12e-08;0.03666666666666667;0.0021115555087817765;
1.16e-08;0.03673333333333333;0.0019500427345744687;
1.2e-08;0.037;0.0020039960079800564;
1.24e-08;0.037000000000000005;0.0019057806799314546;
1.28e-08;0.03733333333333333;0.0019043809142780944;
1.32e-08;0.037200000000000004;0.0017158088471621764;
1.36e-08;0.03713333333333333;0.00154747105519511;
1.4e-08;0.036866666666666666;0.0014624180888742672;
1.44e-08;0.03673333333333333;0.0014624180888742672;
1.48e-08;0.03673333333333333;0.0014624180888742672;
1.52e-08;0.0366;0.001402854233340014;
1.56e-08;0.0368;0.0013145341380123988;
1.6e-08;0.036866666666666666;0.0013246383154154446;
1.64e-08;0.036866666666666666;0.0012754084313139325;
1.68e-08;0.037;0.0014477568856683088;
1.72e-08;0.037;0.0014913081505845806;
1.76e-08;0.037066666666666664;0.0015731073284002816;
1.8e-08;0.037066666666666664;0.0016717256553234645;
1.84e-08;0.037;0.0017297398648351715;
1.88e-08;0.036866666666666666;0.0018140194780284656;
1.92e-08;0.036866666666666666;0.001848963673701208;
1.96e-08;0.036866666666666666;0.0017420294677951528;
2e-08;0.036866666666666666;0.0015882904856060372;
2.04e-08;0.036866666666666666;0.001505545305418161;
2.08e-08;0.037066666666666664;0.0014895189380020218;
2.12e-08;0.036933333333333325;0.0013063945294843617;
2.16e-08;0.036933333333333325;0.001281665583007777;
2.2e-08;0.037;0.0012066482503198682;
2.24e-08;0.037066666666666664;0.0011775681155103794;
2.28e-08;0.03746666666666667;0.0011775681155103807;
2.32e-08;0.03746666666666667;0.0012307179476495286;
2.36e-08;0.03753333333333333;0.0011707547423208111;
2.4e-08;0.03753333333333333;0.0009933109617167553;
2.44e-08;0.037533333333333335;0.0008914407813571614;
2.48e-08;0.03766666666666667;0.0007763160868271811;
2.52e-08;0.037599999999999995;0.0007589466384404102;
2.56e-08;0.03766666666666667;0.0007339391437078883;
2.6e-08;0.0376;0.0008390470785361214;
2.64e-08;0.0376;0.0008;
2.68e-08;0.03766666666666666;0.000816496580927726;
2.72e-08;0.037733333333333334;0.0007865536642001395;
2.76e-08;0.037733333333333334;0.0007865536642001395;
2.8e-08;0.037733333333333334;0.000968848113311198;
2.84e-08;0.0378;0.0009715966241192902;
2.88e-08;0.037866666666666667;0.0011219031449580077;
2.92e-08;0.03786666666666666;0.0011219031449580072;
2.96e-08;0.0378;0.001124277545804416;
3e-08;0.037733333333333334;0.0008640987597877142;
3.04e-08;0.037733333333333334;0.000968848113311198;
3.08e-08;0.0378;0.0007483314773547886;
3.12e-08;0.0376;0.0008;
3.16e-08;0.0376;0.0007589466384404108;
3.2e-08;0.037533333333333335;0.0008164965809277263;
3.24e-08;0.037399999999999996;0.0006572670690061983;
3.28e-08;0.03746666666666667;0.0005465040408511783;
3.32e-08;0.037399999999999996;0.0005513619500836086;
3.36e-08;0.037333333333333336;0.0004131182235954584;
3.4e-08;0.03746666666666666;0.0006531972647421802;
3.44e-08;0.037399999999999996;0.0006066300355241236;
3.48e-08;0.03753333333333333;0.00053166405433005;
3.52e-08;0.037533333333333335;0.0007763160868271808;
3.56e-08;0.03753333333333333;0.00053166405433005;
3.6e-08;0.03753333333333333;0.0006889605697474029;
3.64e-08;0.037399999999999996;0.000551361950083609;
3.68e-08;0.03746666666666666;0.0006531972647421802;
3.72e-08;0.03733333333333333;0.0008640987597877129;
3.76e-08;0.037399999999999996;0.0007899367063252587;
3.8e-08;0.03746666666666667;0.0009003702941938205;
3.84e-08;0.037533333333333335;0.0010250203250017364;
3.88e-08;0.0376;0.000979795897113272;
3.92e-08;0.03753333333333333;0.0008914407813571614;
3.96e-08;0.03753333333333333;0.0007763160868271792;
4e-08;0.03746666666666666;0.0007004760286167294;
4.04e-08;0.03726666666666666;0.0005316640543300498;
4.08e-08;0.03726666666666666;0.0005316640543300498;
4.12e-08;0.03706666666666667;0.00065319726474218;
4.16e-08;0.036866666666666666;0.00058878405775519;
4.2e-08;0.03673333333333333;0.0007339391437078865;
4.24e-08;0.0366;0.0007483314773547886;
4.28e-08;0.03673333333333333;0.0008164965809277273;
4.32e-08;0.03666666666666666;0.0009003702941938212;
4.36e-08;0.03666666666666666;0.0008640987597877143;
4.4e-08;0.0366;0.0009380831519646838;
4.44e-08;0.036399999999999995;0.000979795897113271;
4.48e-08;0.03633333333333333;0.0009605553948974864;
4.52e-08;0.0362;0.0011523888232710332;
4.56e-08;0.03606666666666667;0.0012242004193213892;
4.6e-08;0.03593333333333333;0.0011707547423208098;
4.64e-08;0.035800000000000005;0.0010658330075579384;
4.68e-08;0.03579999999999999;0.0009380831519646862;
4.72e-08;0.0356;0.0008763560920082655;
4.76e-08;0.03553333333333333;0.000993310961716755;
4.8e-08;0.03540000000000001;0.0010353743284435817;
4.84e-08;0.03540000000000001;0.0010353743284435817;
4.88e-08;0.035533333333333326;0.0011707547423208111;
4.92e-08;0.0356;0.0011865917579353068;
4.96e-08;0.035666666666666666;0.001250066664888984;
5e-08;0.0356;0.0011313708498984752;
5.04e-08;0.035666666666666666;0.0013002563849743873;
5.08e-08;0.03553333333333333;0.0011147495981908516;
5.12e-08;0.0354;0.0010954451150103318;
5.16e-08;0.035333333333333335;0.0010327955589886433;
5.2e-08;0.0352;0.0012132600710482477;
5.24e-08;0.03513333333333333;0.0013721030087667143;
5.28e-08;0.03506666666666666;0.0014009520572334621;
5.32e-08;0.034866666666666664;0.00154747105519511;
5.36e-08;0.03473333333333334;0.0015680136053831495;
5.4e-08;0.034666666666666665;0.001552632173654362;
5.44e-08;0.03473333333333333;0.0015474710551951106;
5.48e-08;0.034866666666666664;0.0013721030087667117;
5.52e-08;0.034800000000000005;0.001517893276880821;
5.56e-08;0.034666666666666665;0.0015108496505829645;
5.6e-08;0.0346;0.0014028542333400136;
5.64e-08;0.0344;0.0014966629547095748;
5.68e-08;0.034466666666666666;0.0015882904856060383;
5.72e-08;0.034333333333333334;0.0015882904856060383;
5.76e-08;0.034333333333333334;0.0015882904856060383;
5.8e-08;0.034333333333333334;0.0016280868117722314;
5.84e-08;0.034333333333333334;0.001686020956769717;
5.88e-08;0.034333333333333334;0.001686020956769717;
5.92e-08;0.034333333333333334;0.0015882904856060391;
5.96e-08;0.0342;0.0015543487382180356;
6e-08;0.0342;0.0014028542333400138;
6.04e-08;0.033933333333333336;0.0013721030087667143;
6.08e-08;0.033933333333333336;0.0014179797835888444;
6.12e-08;0.03373333333333334;0.0014895189380020196;
6.16e-08;0.0336;0.001559487095169433;
6.2e-08;0.03353333333333334;0.0017603030042202031;
6.24e-08;0.03353333333333334;0.0017603030042202031;
6.28e-08;0.03353333333333334;0.0017603030042202031;
6.32e-08;0.0334;0.0018022208521710087;
6.36e-08;0.03333333333333333;0.0017828815627143218;
6.4e-08;0.0332;0.0018761663039293707;
6.44e-08;0.032933333333333335;0.0017828815627143222;
6.48e-08;0.033;0.0018373894524569355;
6.52e-08;0.03306666666666667;0.0018532853710820315;
6.56e-08;0.033133333333333334;0.0017420294677951524;
6.6e-08;0.03333333333333333;0.0017281975195754305;
6.64e-08;0.033266666666666674;0.0018140194780284665;
6.68e-08;0.03333333333333333;0.0017281975195754292;
6.72e-08;0.03306666666666667;0.0016907591983090497;
6.76e-08;0.032799999999999996;0.0016198765385053264;
6.8e-08;0.03253333333333334;0.001510849650582966;
6.84e-08;0.03233333333333333;0.0015266521105565178;
6.88e-08;0.03233333333333333;0.0015266521105565178;
6.92e-08;0.03213333333333333;0.0015108496505829635;
6.96e-08;0.0322;0.0014254823744964356;
7e-08;0.032133333333333326;0.0012816655830077774;
7.04e-08;0.0322;0.0013084341787036901;
7.08e-08;0.03239999999999999;0.0012132600710482477;
7.12e-08;0.03233333333333333;0.001275408431313933;
7.16e-08;0.03226666666666667;0.0012816655830077779;
7.2e-08;0.0322;0.0010353743284435835;
7.24e-08;0.03206666666666667;0.0008547904226573111;
7.28e-08;0.032;0.0007155417527999322;
7.32e-08;0.032;0.0006196773353931865;
7.36e-08;0.032;0.0006196773353931865;
7.4e-08;0.031933333333333334;0.0007339391437078888;
7.44e-08;0.0318;0.0007899367063252619;
7.48e-08;0.03166666666666667;0.0007339391437078884;
7.52e-08;0.031466666666666664;0.0007447594690010091;
7.56e-08;0.031266666666666665;0.0006408327915038892;
7.6e-08;0.031133333333333336;0.0005887840577551902;
7.64e-08;0.031;0.000606630035524124;
7.68e-08;0.031;0.000606630035524124;
7.72e-08;0.030800000000000004;0.0006196773353931874;
7.76e-08;0.030733333333333335;0.0007339391437078872;
7.8e-08;0.030600000000000002;0.0007483314773547888;
7.84e-08;0.03046666666666667;0.0008547904226573126;
7.88e-08;0.030333333333333334;0.0009266426855410166;
7.92e-08;0.03006666666666667;0.0010250203250017364;
