Channel;Muon;Source
2430;0;0,154166667
2450;0;0,158333333
2470;0;0,145833333
2490;0;0,116666667
2510;0;0,1
2530;0;0,120833333
2550;0;0,070833333
2570;0;0,066666667
2590;0;0,058333333
2610;0;0,083333333
2630;0;0,0875
2650;0;0,045833333
2670;0;0,091666667
2690;0;0,075
2710;0;0,154166667
2730;0;0,108333333
2750;0;0,175
2770;0;0,15
2790;0;0,116666667
2810;0;0,0875
2830;0;0,120833333
2850;0;0,066666667
2870;0;0,079166667
2890;0;0,054166667
2910;1,39E-05;0,05
2930;2,77E-05;0,033333333
2950;4,16E-05;0,058333333
2970;4,16E-05;0,0375
2990;0,000221997;0,0875
3010;0,00037462;0,083333333
3030;0,000596617;0,0875
3050;0,001040612;0,1
3070;0,001276484;0,041666667
3090;0,001706603;0,075
3110;0,001706603;0,075
3130;0,00233097;0,091666667
3150;0,001775977;0,095833333
3170;0,001942475;0,058333333
3190;0,00155398;0,05
3210;0,00155398;0,025
3230;0,001234859;0,0375
3250;0,001220984;0,075
3270;0,00155398;0,083333333
3290;0,001359732;0,0125
3310;0,001970225;0,0875
3330;0,002081223;0,0625
3350;0,002983087;0,0875
3370;0,003343832;0,0875
3390;0,004481567;0,091666667
3410;0,00503656;0,066666667
3430;0,005230808;0,0625
3450;0,005230808;0,075
3470;0,004134697;0,033333333
3490;0,003524205;0,058333333
3510;0,003329957;0,020833333
3530;0,003024711;0,033333333
3550;0,002636216;0,033333333
3570;0,002622341;0,0375
3590;0,002802714;0,045833333
3610;0,003274458;0,05
3630;0,003579704;0,0625
3650;0,004106947;0,0375
3670;0,004759064;0,066666667
3690;0,005327931;0,066666667
3710;0,006465667;0,075
3730;0,006424042;0,079166667
3750;0,006174296;0,054166667
3770;0,005688677;0,0375
3790;0,004994936;0,070833333
3810;0,004356694;0,0375
3830;0,004148572;0,05
3850;0,004134697;0,029166667
3870;0,003649078;0,025
3890;0,003468705;0,0375
3910;0,003413206;0,0125
3930;0,004106947;0,020833333
3950;0,004134697;0,029166667
3970;0,004426068;0,045833333
3990;0,004786813;0,020833333
4010;0,005189183;0,066666667
4030;0,005882924;0,0375
4050;0,006465667;0,054166667
4070;0,005855175;0,0125
4090;0,005660927;0,020833333
4110;0,00506431;0,025
4130;0,004245695;0,0125
4150;0,003829451;0,029166667
4170;0,003607454;0,020833333
4190;0,002872088;0,020833333
4210;0,003538079;0,020833333
4230;0,003607454;0,033333333
4250;0,003288333;0,025
4270;0,003982074;0,016666667
4290;0,004023698;0,041666667
4310;0,004620316;0,0375
4330;0,005397306;0,025
4350;0,005924549;0,029166667
4370;0,005674802;0,020833333
4390;0,004564816;0,016666667
4410;0,004550941;0,025
4430;0,00428732;0,020833333
4450;0,003676828;0,016666667
4470;0,00351033;0,029166667
4490;0,002761089;0,041666667
4510;0,003066336;0,029166667
4530;0,003413206;0,008333333
4550;0,003218959;0,016666667
4570;0,00313571;0,016666667
4590;0,003538079;0,033333333
4610;0,003704577;0,045833333
4630;0,004176321;0,029166667
4650;0,004675815;0,041666667
4670;0,004523192;0,025
4690;0,004439943;0,0375
4710;0,004564816;0,004166667
4730;0,003940449;0,008333333
4750;0,00348258;0,020833333
4770;0,002788839;0,008333333
4790;0,002955337;0,029166667
4810;0,002844338;0,020833333
4830;0,002719465;0,016666667
4850;0,002677841;0,0375
4870;0,002858213;0,020833333
